LOGIN_USERNAME;Username
LOGIN_PASSWORD;Password
LOGIN_BTN;GO
MAIN_TITLE;QUIZ DASHBOARD
THAT_I_DID;That I did
THAT_MY_DR_DID; That my direct reports did
